date,name,value
1995,Cirrhosis of Liver,0.098833
1996,Cirrhosis of Liver,0.09642300000000001
1997,Cirrhosis of Liver,0.095131
1998,Cirrhosis of Liver,0.093423
1999,Cirrhosis of Liver,0.09411
2000,Cirrhosis of Liver,0.093848
2001,Cirrhosis of Liver,0.093422
2002,Cirrhosis of Liver,0.092197
2003,Cirrhosis of Liver,0.092606
2004,Cirrhosis of Liver,0.089254
2005,Cirrhosis of Liver,0.089049
2006,Cirrhosis of Liver,0.087299
2007,Cirrhosis of Liver,0.090514
2008,Cirrhosis of Liver,0.091169
2009,Cirrhosis of Liver,0.091053
2010,Cirrhosis of Liver,0.093562
2011,Cirrhosis of Liver,0.096616
2012,Cirrhosis of Liver,0.09887
2013,Cirrhosis of Liver,0.101122
2014,Cirrhosis of Liver,0.103949
2015,Cirrhosis of Liver,0.108347
2016,Cirrhosis of Liver,0.10732699999999999
2017,Cirrhosis of Liver,0.108771
1962,Nephritis & Nephrosis,0.09565599999999999
1963,Nephritis & Nephrosis,0.09068899999999999
1964,Nephritis & Nephrosis,0.087477
1965,Nephritis & Nephrosis,0.081938
1966,Nephritis & Nephrosis,0.077761
1967,Nephritis & Nephrosis,0.072406
1968,Nephritis & Nephrosis,0.061163999999999996
1969,Nephritis & Nephrosis,0.060284000000000004
1970,Nephritis & Nephrosis,0.055309000000000004
1971,Nephritis & Nephrosis,0.052135
1972,Nephritis & Nephrosis,0.052115999999999996
1973,Nephritis & Nephrosis,0.050092000000000005
1974,Nephritis & Nephrosis,0.047445999999999995
1975,Nephritis & Nephrosis,0.046468
1976,Nephritis & Nephrosis,0.048649
1977,Nephritis & Nephrosis,0.047428
1978,Nephritis & Nephrosis,0.048246
1979,Nephritis & Nephrosis,0.086366
1980,Nephritis & Nephrosis,0.09110700000000001
1981,Nephritis & Nephrosis,0.091199
1982,Nephritis & Nephrosis,0.093511
1983,Nephritis & Nephrosis,0.096357
1984,Nephritis & Nephrosis,0.100093
1985,Nephritis & Nephrosis,0.104229
1986,Nephritis & Nephrosis,0.104369
1987,Nephritis & Nephrosis,0.10373099999999999
1988,Nephritis & Nephrosis,0.10354000000000001
1989,Nephritis & Nephrosis,0.095522
1990,Nephritis & Nephrosis,0.092899
1991,Nephritis & Nephrosis,0.092529
1992,Nephritis & Nephrosis,0.09374199999999999
1993,Nephritis & Nephrosis,0.096385
1994,Nephritis & Nephrosis,0.093115
1995,Nephritis & Nephrosis,0.093999
1996,Nephritis & Nephrosis,0.094534
1997,Nephritis & Nephrosis,0.096623
1998,Nephritis & Nephrosis,0.097938
1999,Nephritis & Nephrosis,0.13813699999999998
2000,Nephritis & Nephrosis,0.142626
2001,Nephritis & Nephrosis,0.14816500000000002
2002,Nephritis & Nephrosis,0.15146400000000002
2003,Nephritis & Nephrosis,0.154426
2004,Nephritis & Nephrosis,0.152274
2005,Nephritis & Nephrosis,0.15395599999999998
2006,Nephritis & Nephrosis,0.155325
2007,Nephritis & Nephrosis,0.155968
2008,Nephritis & Nephrosis,0.158496
2009,Nephritis & Nephrosis,0.15803699999999998
2010,Nephritis & Nephrosis,0.160808
2011,Nephritis & Nephrosis,0.143283
2012,Nephritis & Nephrosis,0.141361
2013,Nephritis & Nephrosis,0.14322200000000002
2014,Nephritis & Nephrosis,0.14438299999999998
2015,Nephritis & Nephrosis,0.148099
2016,Nephritis & Nephrosis,0.147277
2017,Nephritis & Nephrosis,0.147292
1962,Motor Vehicle Accidents,0.24059499999999998
1963,Motor Vehicle Accidents,0.25258
1964,Motor Vehicle Accidents,0.26344
1965,Motor Vehicle Accidents,0.27081900000000003
1966,Motor Vehicle Accidents,0.28565799999999997
1967,Motor Vehicle Accidents,0.280002
1968,Motor Vehicle Accidents,0.286572
1969,Motor Vehicle Accidents,0.285193
1970,Motor Vehicle Accidents,0.27565500000000004
1971,Motor Vehicle Accidents,0.266739
1972,Motor Vehicle Accidents,0.270937
1973,Motor Vehicle Accidents,0.261842
1974,Motor Vehicle Accidents,0.213601
1975,Motor Vehicle Accidents,0.20783000000000001
1976,Motor Vehicle Accidents,0.20889699999999997
